bossName,bossDifficulty,bossReqQuest,bossReqLevel,bossLevel,bossHP,bossHPStr,bossHPperPhase,isHpRevision,bossDef,bossForce,rewardItem1,rewardItem1Name,rewardItem2,rewardItem2Name,rewardItem3,rewardItem3Name,rewardItem4,rewardItem4Name,bossPattern1,bossPattern2,bossPattern3,bossPattern4,bossTip
우르스,노말,퀘스트 전구 - [우르스],100,130," 2,625,000,000,000 ",2조 6250억,0,0,10,아케인/어센틱 없음,02438119,대량의 메소,,,,,,,우르스가 할퀴기 공격을 합니다.,,,,"난이도가 크게 어렵지 않은 데 비해, 많은 양의 메소와 플레이어의 공격력/마력을 올려주는 [마슈르의 선물] 버프는 플레이어의 스펙에 상관없이, 필수로 얻어야 할 보상입니다."
,,,,,,,,,,,05121057,마슈르의 선물 버프,,,,,,,"우르스의 주변에 나무 뿌리가 표시되고, 잠시 후 표시된 곳에서 가시가 튀어나옵니다.",,,,
,,,,,,,,,,,01004597,우르스 캐시 장비,,,,,,,"우르스가 바닥에 엎드립니다. 일정 시간이 지나면 우르스가 일어나며 지면을 내리칩니다. 우르스에 올라타 회피가능, 지면에 있을 경우 피격되며 피격 시 빈사",,,,
,,,,,,,,,,,02434391,우르스 관련 데미지 스킨,,,,,,,양손으로 지면을 강하게 내려칩니다. 피격 후 공중으로 에어본,,,,
,,,,,,,,,,,03015276,우르스 관련 의자,,,,,,,"앞에 있는 플레이어들을 내려쳐 기절시키고, 돌진해서 잡아먹습니다. 이후 플레이어를 씹어 출혈 데미지를 주면서 뱉거나, 하늘로 날립니다.",,,,
,,,,,,,,,,,02049705,에픽 잠재능력 부여 주문서 50%,,,,,,,전방으로 모래를 뿌립니다. 모래에 맞은 플레이어는 다른 플레이어가 가까이 접근하기 전까지 행동 불가 상태가 됩니다.,,,,
,,,,,,,,,,,02048337,에디셔널 잠재능력 부여 주문서 50%,,,,,,,"우르스의 HP에 따라 하늘에서 ""강환불"" 이라고 부르는 운석이 떨어지기 시작합니다. 피격 시 최대 체력의 약 10% 피해를 받고, 우르스의 체력이 낮아질수록 운석이 더 많이 떨어집니다.",,,,
,,,,,,,,,,,02048716,강력한 환생의 불꽃,,,,,,,플레이어에게 폭탄이 붙습니다. 폭탄은 10초가 지나면 폭발하며 빈사 상태가 됩니다. 폭탄에 맞는 파티원이 많을수록 데미지가 분산됩니다.,,,,
,,,,,,,,,,,,,,,,,,,우르스가 포효를 합니다. 모든 플레이어들은 넉백되면서 경직 상태가 됩니다.,,,,
,,,,,,,,,,,,,,,,,,,"근처의 플레이어들을 잡아채며 들어올립니다. 잡힌 플레이어들은 지속 피해를 받으며, 우르스가 일정량의 피해를 받지 않을 경우 손에 있는 플레이어를 바닥으로 내던져 빈사시킵니다.",,,,
,,,,,,,,,,,,,,,,,,,"우르스의 체력이 얼마 남지 않았을 경우 발악을 합니다. 모든 플레이어가 지속 데미지를 받고, 우르스 주변에 있는 플레이어들은 밀려납니다. 발악 상태일 땐 운석이 떨어지지 않게 됩니다.",,,,
