bossName,bossDifficulty,bossReqQuest,bossReqLevel,bossLevel, bossHP ,bossHPStr,bossHPperPhase,isHpRevision,bossDef,bossForce,rewardItem1,rewardItem1Name,rewardItem2,rewardItem2Name,rewardItem3,rewardItem3Name,rewardItem4,rewardItem4Name,bossPattern1,bossPattern2,bossPattern3,bossPattern4,bossTip
혼테일,이지,없음,130,130," 1,017,600,000 ",10억 1760만,0,0,40,아케인/어센틱 없음,04001886,약 50만 메소,04001886,약 60만 메소,04001886,약 80만 메소,04001886,약 0만 메소,"왼쪽 머리 : 맵에 입장하면 왼쪽 혼테일의 머리가 나타납니다. HP : 100,000,000 (1억)","왼쪽 머리 : 맵에 입장하면 왼쪽 혼테일의 머리가 나타납니다. HP : 330,000,000 (3억 3000만)","왼쪽 머리 : 맵에 입장하면 왼쪽 혼테일의 머리가 나타납니다. HP : 3,300,000,000 (33억)",,[왼쪽 머리] 바위 공격은 플레이어에게 상당히 큰 피해를 입힙니다. 가능하다면 공격에 맞지 않도록 피하세요.
혼테일,노말,없음,130,160," 2,750,000,000 ",27억 5000만,0,0,40,아케인/어센틱 없음,02000004,엘릭서,02000004,엘릭서,02000005,파워 엘릭서,,,"왼쪽 머리 : 땅에 비석을 소환한 뒤, 비석이 있는 자리에 바위가 떨어집니다.","왼쪽 머리 : 땅에 비석을 소환한 뒤, 비석이 있는 자리에 바위가 떨어집니다.","왼쪽 머리 : 땅에 비석을 소환한 뒤, 비석이 있는 자리에 바위가 떨어집니다.",,[오른쪽 머리] 벼락 공격은 플레이어에게 상당히 큰 피해를 입힙니다. 가능하다면 공격에 맞지 않도록 피하세요.
혼테일,카오스,없음,135,160," 26,600,000,000 ",266억,0,0,50,아케인/어센틱 없음,01032241,데아 시두스 이어링,01032241,데아 시두스 이어링,01032241,데아 시두스 이어링,,,왼쪽 머리 : 혼테일이 차가운 숨결을 뿜어 데미지를 주며 넉백시킵니다.,왼쪽 머리 : 혼테일이 차가운 숨결을 뿜어 데미지를 주며 넉백시킵니다.,왼쪽 머리 : 혼테일이 차가운 숨결을 뿜어 데미지를 주며 넉백시킵니다.,,"[본체] 많은 공격 패턴과 상태이상이 플레이어를 정신없게 만들지만, 치명적인 피해를 입히진 않을 겁니다. 부위를 하나씩 처치하다 보면 보스를 쉽게 클리어 할 수 있을 겁니다."
,,,,,,,,,,,01113149,실버블라썸 링,01113149,실버블라썸 링,01113149,실버블라썸 링,,,왼쪽 머리 : 물리공격 또는 마법공격을 무시하는 버프를 사용합니다.,왼쪽 머리 : 물리공격 또는 마법공격을 무시하는 버프를 사용합니다.,왼쪽 머리 : 물리공격 또는 마법공격을 무시하는 버프를 사용합니다.,,
,,,,,,,,,,,02435367,혼테일 모몽,01122000,혼테일의 목걸이,01122076,카오스 혼테일의 목걸이,,,"오른쪽 머리 : 오른쪽 혼테일의 머리가 나타납니다. HP : 100,000,000 (1억)","오른쪽 머리 : 오른쪽 혼테일의 머리가 나타납니다. HP : 330,000,000 (3억 3000만)","오른쪽 머리 : 오른쪽 혼테일의 머리가 나타납니다. HP : 3,300,000,000 (33억)",,
,,,,,,,,,,,,,02435367,혼테일 모몽,02435367,카오스 혼테일 모몽,,,"오른쪽 머리 : 땅에 비석을 소환한 뒤, 비석이 있는 자리에 벼락이 칩니다.","오른쪽 머리 : 땅에 비석을 소환한 뒤, 비석이 있는 자리에 벼락이 칩니다.","오른쪽 머리 : 땅에 비석을 소환한 뒤, 비석이 있는 자리에 벼락이 칩니다.",,
,,,,,,,,,,,,,,,,,,,오른쪽 머리 : 혼테일이 번개를 뿜어 약간의 데미지를 줍니다.,오른쪽 머리 : 혼테일이 번개를 뿜어 약간의 데미지를 줍니다.,오른쪽 머리 : 혼테일이 번개를 뿜어 약간의 데미지를 줍니다.,,
,,,,,,,,,,,,,,,,,,,오른쪽 머리 : 물리공격 또는 마법공격을 무시하는 버프를 사용합니다.,오른쪽 머리 : 물리공격 또는 마법공격을 무시하는 버프를 사용합니다.,오른쪽 머리 : 물리공격 또는 마법공격을 무시하는 버프를 사용합니다.,,
,,,,,,,,,,,,,,,,,,,"본체 : 혼테일이 소환되면 온갖 스킬들을 난사합니다. 머리는 주로 강력한 공격을 시전하고, 팔은 치명적인 상태이상을 겁니다.","본체 : 혼테일이 소환되면 온갖 스킬들을 난사합니다. 머리는 주로 강력한 공격을 시전하고, 팔은 치명적인 상태이상을 겁니다.","본체 : 혼테일이 소환되면 온갖 스킬들을 난사합니다. 머리는 주로 강력한 공격을 시전하고, 팔은 치명적인 상태이상을 겁니다.",,
,,,,,,,,,,,,,,,,,,,본체 : 플레이어가 가진 MP를 흡수합니다.,본체 : 플레이어가 가진 MP를 흡수합니다.,본체 : 플레이어가 가진 MP를 흡수합니다.,,
,,,,,,,,,,,,,,,,,,,본체 : 머리가 물리 공격 또는 마법 공격을 무시하는 버프를 사용합니다.,본체 : 머리가 물리 공격 또는 마법 공격을 무시하는 버프를 사용합니다.,본체 : 머리가 물리 공격 또는 마법 공격을 무시하는 버프를 사용합니다.,,
,,,,,,,,,,,,,,,,,,,,,,,
