TAG,className,classFaction,classType,mainWeapon,subWeapon,mainStat,subStat,criRate,unionInfo,unionB,unionA,unionS,unionSS,unionSSS,linkIcon,linkName,linkInfo,linkDesc,identityIcon,identityDesc,identityIcon2,identityDesc2,identityIcon3,identityDesc3,upColorR,upColorG,upColorB,downColorR,downColorG,downColorB
1,히어로,모험가,전사,검&도끼,메달&방패,STR,DEX,70%(발할라 적용),STR 증가,10,20,40,80,100,0000252,인빈서블 빌리프,"꺾이지 않는 신념을 가져 위기 상황일 때 HP를 대량으로 회복한다.\\n마을 및 특정한 회복 불가 상황에서는 발동되지 않고 재사용 대기시간 초기화, 버프 지속시간 증가, 회복 스킬 효율 증가 및 감소의 효과를 받지 않는다.\\n월드 내 서로 다른 모험가 전사 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.",현재 HP가 최대 HP의 15% 이하가 되었을 때 자동 발동되어 3초 동안 1초 마다 최대 HP의 20% ~ 35% 회복\\n[재발동 대기시간 : 410초 ~ 210초],1120003,히어로는 공격할 때 콤보 카운터를 얻습니다. 콤보 카운터를 소모해 강력한 스킬을 사용합니다.,1121015,"게임 초창기 때부터 존재하던 직업이며, 스킬 구성은 단순하면서도 높은 능력치를 가진 강력한 전사입니다.",400011073,콤보 카운터는 히어로의 공격력을 크게 증가시킵니다. 콤보로 인한 높은 최종 데미지는 히어로의 매력 중 하나입니다.,255,50,0,255,100,0
2,다크나이트,모험가,전사,창&폴암,쇠사슬,STR,DEX,55%,최대 HP 증가,2%,3%,4%,5%,6%,0000252,인빈서블 빌리프,"꺾이지 않는 신념을 가져 위기 상황일 때 HP를 대량으로 회복한다.\\n마을 및 특정한 회복 불가 상황에서는 발동되지 않고 재사용 대기시간 초기화, 버프 지속시간 증가, 회복 스킬 효율 증가 및 감소의 효과를 받지 않는다.\\n월드 내 서로 다른 모험가 전사 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.",현재 HP가 최대 HP의 15% 이하가 되었을 때 자동 발동되어 3초 동안 1초 마다 최대 HP의 20% ~ 35% 회복\\n[재발동 대기시간 : 410초 ~ 210초],1301013,"다크나이트의 소환수, 비홀더가 전투를 돕습니다. 자신과 파티원의 능력치를 올려줍니다.",1320016,"사망에 이른 상태에서도 전투를 계속 합니다. 어둠과의 계약을 잘 수행했다면, 다크나이트는 죽음을 피할 수 있습니다.",0,0,255,50,255,100,0,100
3,팔라딘,모험가,전사,검&둔기,로자리오&방패,STR,DEX,47%,STR 증가,10,20,40,80,100,0000252,인빈서블 빌리프,"꺾이지 않는 신념을 가져 위기 상황일 때 HP를 대량으로 회복한다.\\n마을 및 특정한 회복 불가 상황에서는 발동되지 않고 재사용 대기시간 초기화, 버프 지속시간 증가, 회복 스킬 효율 증가 및 감소의 효과를 받지 않는다.\\n월드 내 서로 다른 모험가 전사 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.",현재 HP가 최대 HP의 15% 이하가 되었을 때 자동 발동되어 3초 동안 1초 마다 최대 HP의 20% ~ 35% 회복\\n[재발동 대기시간 : 410초 ~ 210초],1220010,[홀리 포스] 스킬로 자신의 능력치를 크게 증가시킵니다.,1221054,"무적, 회복과 같이 생존과 관련된 스킬을 가지고 있어, 쉽게 사망하지 않습니다.",400011003,"파티원에게 이로운 버프를 여러 개 가지고 있습니다. 파티원을 부활시키고, 강력한 버프를 걸어줍니다.",255,200,0,255,255,100
4,"아크메이지(불, 독)",모험가,마법사,완드&스태프,마도서(적녹)&방패,INT,LUK,40%(완드 45%),최대 MP 증가,2%,3%,4%,5%,6%,0000255,임피리컬 널리지,실전적인 탐구를 통해 약점을 파악하여 해당 적에 대한 데미지와 방어율 무시를 점차 증가시킨다.\\n월드 내 서로 다른 모험가 마법사 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.,"공격한 적 중 최대 HP가 가장 높은 적에 대한 약점을 15% ~ 25% 확률로 파악, 파악한 약점은 10초 동안 지속되며 최대 3회까지 중첩\\n중첩 당 데미지 1% ~ 3%, 방어율 무시 1% ~ 3% 증가",2110000,지속적인 피해를 주는 특징을 가지고 있습니다. 화상 피해를 주는 불 속성과 독 피해를 주는 독 속성의 스킬을 주로 사용합니다.,2120014,"적에게 주는 지속 피해(도트 데미지) 가 많을수록 자신의 능력치가 증가합니다. 그만큼 많은 스킬들을 사용해야 하기에, 난이도가 높은 편입니다.",400021001,"지속 피해를 주는 것이 특징이지만, 한 번에 많은 피해를 주는 폭발적인 피해에도 소홀하지 않습니다.",255,0,0,0,200,0
5,"아크메이지(썬, 콜)",모험가,마법사,완드&스태프,마도서(청은)&방패,INT,LUK,40%(완드 45%),INT 증가,10,20,40,80,100,0000255,임피리컬 널리지,실전적인 탐구를 통해 약점을 파악하여 해당 적에 대한 데미지와 방어율 무시를 점차 증가시킨다.\\n월드 내 서로 다른 모험가 마법사 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.,"공격한 적 중 최대 HP가 가장 높은 적에 대한 약점을 15% ~ 25% 확률로 파악, 파악한 약점은 10초 동안 지속되며 최대 3회까지 중첩\\n중첩 당 데미지 1% ~ 3%, 방어율 무시 1% ~ 3% 증가",2201008,적에게 얼음 속성의 피해를 입혀 적을 [빙결] 시킵니다.,2221006,[빙결] 된 적에게는 [번개] 속성의 마법이 큰 피해를 줍니다. 적을 [빙결] 시키면서 [번개] 공격을 하세요.,0,0,0,255,255,0,150,255
6,비숍,모험가,마법사,완드&스태프,마도서(백금)&방패,INT,LUK,75%(완드 80%),INT 증가,10,20,40,80,100,0000255,임피리컬 널리지,실전적인 탐구를 통해 약점을 파악하여 해당 적에 대한 데미지와 방어율 무시를 점차 증가시킨다.\\n월드 내 서로 다른 모험가 마법사 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.,"공격한 적 중 최대 HP가 가장 높은 적에 대한 약점을 15% ~ 25% 확률로 파악, 파악한 약점은 10초 동안 지속되며 최대 3회까지 중첩\\n중첩 당 데미지 1% ~ 3%, 방어율 무시 1% ~ 3% 증가",2320013,"비숍의 버프를 받은 파티원이 많을수록, 비숍의 능력치가 더 크게 증가합니다.",2311003,"아군을 지원하는 것에 진심인 직업으로, 파티 구성에서 없어선 안 될 존재입니다. 파티원의 능력치를 증가시키고, 체력을 회복시켜 파티원의 생존에 매우 큰 도움을 줍니다.",2321054,"파티원을 지원하던 [자애] 스킬이 [복수] 스킬로 변하면, 비숍은 강력한 공격 스킬로 적과 전투를 할 수 있습니다.",255,255,0,255,255,100
7,보우마스터,모험가,궁수,활,화살깃,DEX,STR,"69%(자기 링크 2레벨, 샤프 아이즈 적용)",DEX 증가,10,20,40,80,100,0000258,어드벤쳐러 큐리어스,특유의 호기심을 발휘해 몬스터 컬렉션 등록 확률과 크리티컬 확률을 증가시킨다.\\n몬스터 컬렉션 등록 확률은 기존 확률에 곱적용으로 적용된다.\\n월드 내 서로 다른 모험가 궁수 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.,"몬스터 컬렉션 등록 확률 10% ~ 35%, 크리티컬 확률 3% ~ 10% 증가",3120022,"보우마스터가 적을 공격하면, 마법의 화살이 추가로 발사되어 적을 공격합니다. 마법 화살, 흡혈 화살 중 하나를 고를 수 있습니다.",3110012,"오랜 시간 동안 화살을 쏟아부어, 강력한 공격을 적에게 지속적으로 할 수 있습니다.",400031053,"보우마스터는 무적 스킬처럼 생존에 큰 도움이 되는 스킬이 많지 않지만, 보우마스터의 잔상이 치명적인 피해를 어느 정도 막아줄 겁니다.",255,255,0,0,200,255
8,신궁,모험가,궁수,석궁,활골무,DEX,STR,"69%(자기 링크 2레벨, 샤프 아이즈 적용)",크리티컬 확률 증가,1%,2%,3%,4%,5%,0000258,어드벤쳐러 큐리어스,특유의 호기심을 발휘해 몬스터 컬렉션 등록 확률과 크리티컬 확률을 증가시킨다.\\n몬스터 컬렉션 등록 확률은 기존 확률에 곱적용으로 적용된다.\\n월드 내 서로 다른 모험가 궁수 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.,"몬스터 컬렉션 등록 확률 10% ~ 35%, 크리티컬 확률 3% ~ 10% 증가",400031006,긴 사거리를 가진 스킬로 적을 먼 거리에서도 공격합니다. 마치 저격수와 같습니다.,3220021,"같은 스킬을 여러 번 맞추면, 더 강력한 스킬을 사용하면서 신궁의 능력치가 크게 증가합니다.",0,0,255,130,0,255,180,0
9,패스파인더,모험가,궁수,에인션트 보우,렐릭,DEX,STR,"79%(자기 링크 2레벨, 샤프 아이즈 적용)",DEX 증가,10,20,40,80,100,0000258,어드벤쳐러 큐리어스,특유의 호기심을 발휘해 몬스터 컬렉션 등록 확률과 크리티컬 확률을 증가시킨다.\\n몬스터 컬렉션 등록 확률은 기존 확률에 곱적용으로 적용된다.\\n월드 내 서로 다른 모험가 궁수 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.,"몬스터 컬렉션 등록 확률 10% ~ 35%, 크리티컬 확률 3% ~ 10% 증가",3320002,"[카디널 포스] 라는 단어가 붙은 스킬은 '디스차지', '블래스트', '트랜지션' 이라는 세 가지 속성 중 하나를 가지고 있습니다.",3320000,"카디널 포스 스킬로 적을 공격하면 [렐릭 게이지] 를 얻습니다. [렐릭 게이지] 를 모아 강력한 스킬을 쓰기도 하고, 패스파인더의 능력치를 증가시키기도 합니다.",3321014,렐릭 게이지를 소모해서 발동하는 강력한 스킬을 [인챈트 포스] 스킬이라고 합니다. 마지막으로 사용했던 [카디널 포스] 스킬에 따라 [인챈츠 포스] 스킬의 속성이 달라집니다.,0,0,255,120,0,255
10,나이트로드,모험가,도적,아대,부적,LUK,DEX,75%,크리티컬 확률 증가,1%,2%,3%,4%,5%,0000261,시프 커닝,"도적 특유의 교활함을 발휘해 적을 약화시키면 데미지가 증가한다.\\n재사용 대기시간 초기화, 버프 지속시간 증가의 효과를 받지 않는다.\\n월드 내 서로 다른 모험가 도적 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.",적에게 상태 이상을 적용시키면 10초 동안 데미지 3% ~ 18% 증가\\n[재발동 대기시간 : 20초],400041001,"원거리에서 표창을 던지는 도적이지만, 적에게 근접하면 극단적으로 많은 피해를 줄 수 있습니다.",4001003,"낙하물 피해를 무시하는 다크 사이트 스킬을 제외하면, 생존을 돕는 스킬이 거의 없습니다.",0,0,100,0,255,60,0,150
